"Category","Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"Existing","115210034","light industrial","2018","8","199000"
"Existing","663270012","light industrial","2019","8","199000"
"Existing","677260056","ct-light industrial","1989","8","199000"
"Existing","257240002","light industrial","2007","8","199000"
"Existing","119300067","light industrial","1990","8","199000"
"Existing","021127548","flex","2001","8","199000"
"Existing","023206126","light industrial","2001","8","199000"
"Existing","027702280","storage warehouse","1987","8","199000"
"Existing","5164010005","Warehousing, Distribution, Storage","1980","8","199000"
"Existing","7003005026","Warehousing, Distribution, Storage","1980","8","199000"
"Existing","7315036070","Warehousing, Distribution, Storage","1986","8","199000"
"Existing","7319039113","Warehousing, Distribution, Storage","2004","8","199000"
"Existing","8417025039","Warehousing, Distribution, Storage","2021","8","199000"
"Existing","590-042-02","warehouse","1985","8","199000"
"Existing","115670020","light industrial","1980","8","198000"
"Existing","013638109","light industrial","2005","8","198000"
"Existing","020917163","distribution warehouse","2006","8","198000"
"Existing","6302016026","Warehousing, Distribution, Storage","1980","8","198000"
"Existing","6332015017","Warehousing, Distribution, Storage","1980","8","198000"
"Existing","8009022076","Warehousing, Distribution, Storage","2017","8","198000"
"Existing","8069018038","Warehousing, Distribution, Storage","1980","8","198000"
"Existing","8082033017","Warehousing, Distribution, Storage","1980","8","198000"
"Existing","8382005029","Warehousing, Distribution, Storage","1980","8","198000"
"Existing","156040078","warehouse/dry storage","2017","8","197000"
"Existing","156210041","light industrial","1987","8","197000"
"Existing","305060039","light industrial","1980","8","197000"
"Existing","129200018","light industrial","2023","8","197000"
"Existing","011345129","light industrial","1988","8","197000"
"Existing","013639144","distribution warehouse","2005","8","197000"
"Existing","3271026008","Warehousing, Distribution, Storage","1999","8","197000"
"Existing","7306019096","Warehousing, Distribution, Storage","1980","8","197000"
"Existing","7315005057","Warehousing, Distribution, Storage","1980","8","197000"
"Existing","082-160-38","warehouse","1980","8","197000"
"Existing","253-061-23","warehouse","1980","8","197000"
"Existing","386-371-32","warehouse","1980","8","197000"
"Approved","Beech Avenue Logistics Center","https://ceqanet.opr.ca.gov/2023110591","2027","8","197000"
"Existing","295310058","warehouse/dry storage","2017","8","196000"
"Existing","020940104","distribution warehouse","1984","8","196000"
"Existing","022911124","distribution warehouse","1985","8","196000"
"Existing","023815225","light industrial","1998","8","196000"
"Existing","029219211","light industrial","1980","8","196000"
"Existing","2538002046","Warehousing, Distribution, Storage","1980","8","196000"
